
Country Name En,Continent Name En,FAO major fishing area Name En,Ocean Name En,Unit Name,2021,2021 Flag,2020,2020 Flag,2019,2019 Flag,2018,2018 Flag,2017,2017 Flag,2016,2016 Flag,2015,2015 Flag,2014,2014 Flag,2013,2013 Flag,2012,2012 Flag,2011,2011 Flag,2010,2010 Flag,2009,2009 Flag,2008,2008 Flag,2007,2007 Flag,2006,2006 Flag,2005,2005 Flag,2004,2004 Flag,2003,2003 Flag,2002,2002 Flag,2001,2001 Flag,2000,2000 Flag,1999,1999 Flag,1998,1998 Flag,1997,1997 Flag,1996,1996 Flag,1995,1995 Flag,1994,1994 Flag,1993,1993 Flag,1992,1992 Flag,1991,1991 Flag,1990,1990 Flag,1989,1989 Flag,1988,1988 Flag,1987,1987 Flag,1986,1986 Flag,1985,1985 Flag,1984,1984 Flag,1983,1983 Flag,1982,1982 Flag,1981,1981 Flag,1980,1980 Flag,1979,1979 Flag,1978,1978 Flag,1977,1977 Flag,1976,1976 Flag,1975,1975 Flag,1974,1974 Flag,1973,1973 Flag,1972,1972 Flag,1971,1971 Flag,1970,1970 Flag,1969,1969 Flag,1968,1968 Flag,1967,1967 Flag,1966,1966 Flag,1965,1965 Flag,1964,1964 Flag,1963,1963 Flag,1962,1962 Flag,1961,1961 Flag,1960,1960 Flag,1959,1959 Flag,1958,1958 Flag,1957,1957 Flag,1956,1956 Flag,1955,1955 Flag,1954,1954 Flag,1953,1953 Flag,1952,1952 Flag,1951,1951 Flag,1950,1950 Flag
Chile,Americas,"Pacific, Southeast",Pacific Ocean,Tonnes - live weight,2089,,1888,,3532,,2791,,3602,,3215,,1849,,2283,,1796,,1220,,3620,,1895,,2153,,2783,,1340,,2786,,2589,,2308,,2020,,1354,,2008,,1682,,3168,,4877,,4404,,3477,,3796,,3732,,3608,,3286,,2438,,2652,,3075,,4157,,1526,,2530,,1256,,1394,,1252,,108,,33,,8,,7,,2,,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Asia,"Atlantic, Eastern Central",Atlantic Ocean and adjacent seas,Tonnes - live weight,,,,,,,,,,,,,,,,,2341,,1683,,898,,1197,,1791,,284,,442,,36,,195,,,,1876,,741,,5130,,4578,,7491,,4336,,3193,,2464,,3481,,9,,523,,156,,409,,1127,,318,,318,,318,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Asia,"Atlantic, Southeast",Atlantic Ocean and adjacent seas,Tonnes - live weight,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,Asia,"Pacific, Northwest",Pacific Ocean,Tonnes - live weight,106297,,104870,,106014,,107789,,110835,,124394,,130245,,121352,,116828,,124117,,126067,,125776,,118345,,120602,,139416,,118727,,97470,E,115653,E,99736,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,Americas,"Atlantic, Western Central",Atlantic Ocean and adjacent seas,Tonnes - live weight,0,,0,,10.928,,4,,16,,3,,1,,1,,2,,,,1,,0,N,1,,1,E,1,E,,,,,,,3,,4,,4,,9,,16,,16,,18,,4,,8,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,Africa,"Atlantic, Eastern Central",Atlantic Ocean and adjacent seas,Tonnes - live weight,9,,15.742,,16,,39,,20,,23,,12,,30,,11,,6,,44,,20,,25,,8,,10,,38,,5,,6,,28,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,Oceania,"Pacific, Eastern Central",Pacific Ocean,Tonnes - live weight,30,E,30,E,30,E,30,E,30,E,30,E,30,E,30,E,30,E,30,E,30,E,27,E,27,E,30,E,30,E,30,,30,E,30,,30,E,30,E,30,E,30,E,30,E,40,E,50,E,60,E,65,E,69,E,73,E,72,E,80,E,87,E,83,E,79,E,79,E,76,E,74,E,72,E,69,E,67,E,65,E,62,E,60,,19,,60,E,60,E,60,E,60,E,60,E,60,E,60,E,60,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,Americas,"Pacific, Eastern Central",Pacific Ocean,Tonnes - live weight,1.226,,1.804,,3.309,,9.868,,1.775,,2.646,,3,E,3,,35,,42,,32,,22,,114,,37,,22,,35,,18,,54,,20,,35,,66,,71,,76,,6,,58,,27,,26,,67,,15,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Côte d'Ivoire,Africa,"Atlantic, Eastern Central",Atlantic Ocean and adjacent seas,Tonnes - live weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,Europe,Mediterranean and Black Sea,Atlantic Ocean and adjacent seas,Tonnes - live weight,319.617,,483.527,,385,,427,,497,,628,,833,,983,,770,,660,,601,,605,,853,,,,,,,,,,,,,,,,,,,,,,435,,293,,180,,193,,187,,231,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
